"country","project","id","year","month","date","site","treatment","plot_id","functional_group","family","name_2020","genus","species","individual_nr","plant_height_cm","nr_leaves","bulk","wet_mass_total_g","leaf_thickness_1_mm","leaf_thickness_2_mm","leaf_thickness_3_mm","dry_mass_total_g","number_leaves_scan","leaf_area_total_cm2","wet_mass_g","dry_mass_g","leaf_area_cm2","sla_cm2_g","ldmc","leaf_thickness_ave_mm","area_flag","dry_flag","wet_flag"
"PE","PFTC5","BBE9957",2020,"March","2020-03-12","ACJ","C",1,"Woody","Ericaceae","Vaccinium floribundum","Vaccinium","floribundum",2,31.5,5,"5",0.118,0.41,0.371,0.385,0.0556,5,3.687,0.0236,0.01112,0.7374,66.3129496402878,0.471186440677966,0.388666666666667,NA,NA,NA
"PE","PFTC5","ACH3760",2020,"March","2020-03-12","ACJ","C",1,"Forb","Gentianaceae","Halenia umbellata","Halenia","umbellata",2,10.8,3,NA,0.078,0.218,0.226,0.28,0.0197,1,2.501,0.026,0.00656666666666667,0.833666666666667,126.954314720812,0.252564102564103,0.241333333333333,NA,NA,NA
"PE","PFTC5","ABJ6329",2020,"March","2020-03-12","ACJ","C",1,"Forb","Gentianaceae","Halenia umbellata","Halenia","umbellata",2,10.8,2,NA,0.097,0.277,0.276,0.311,0.0245,1,2.796,0.0485,0.01225,1.398,114.122448979592,0.252577319587629,0.288,NA,NA,NA
"PE","PFTC5","ABH3333",2020,"March","2020-03-12","ACJ","C",3,"Forb","Gentianaceae","Halenia umbellata","Halenia","umbellata",3,9.6,4,NA,0.059,0.298,0.293,0.31,0.015,1,1.915,0.01475,0.00375,0.47875,127.666666666667,0.254237288135593,0.300333333333333,NA,NA,NA
"PE","PFTC5","AUG4202",2020,"March","2020-03-12","ACJ","C",3,"Forb","Rosaceae","Lachemilla orbiculata","Lachemilla","orbiculata",2,6.1,1,NA,0.128,0.234,0.234,0.217,0.039,1,4.394,0.128,0.039,4.394,112.666666666667,0.3046875,0.228333333333333,NA,"ID: AUG4202 A.U.G.4202",NA
"PE","PFTC5","BAL4822",2020,"March","2020-03-12","ACJ","C",2,"Woody","Ericaceae","Vaccinium floribundum","Vaccinium","floribundum",1,57,2,NA,0.082,0.522,0.474,0.539,0.0439,5,2.186,0.041,0.02195,1.093,49.7949886104784,0.535365853658537,0.511666666666667,NA,NA,NA
"PE","PFTC5","BGC9326",2020,"March","2020-03-12","ACJ","C",3,"Woody","Ericaceae","Vaccinium floribundum","Vaccinium","floribundum",2,12.4,4,"5",0.112,0.493,0.495,0.521,0.0481,5,3.008,0.028,0.012025,0.752,62.5363825363825,0.429464285714286,0.503,NA,NA,NA
"PE","PFTC5","BAP6673",2020,"March","2020-03-12","ACJ","C",2,"Woody","Ericaceae","Vaccinium floribundum","Vaccinium","floribundum",1,57,3,NA,0.076,0.415,0.432,0.35,0.0396,5,2.018,0.0253333333333333,0.0132,0.672666666666667,50.959595959596,0.521052631578947,0.399,NA,NA,NA
"PE","PFTC5","BBP7296",2020,"March","2020-03-12","ACJ","C",1,"Woody","Ericaceae","Vaccinium floribundum","Vaccinium","floribundum",2,31.5,4,"5",0.154,0.477,0.515,0.404,0.0698,5,4.049,0.0385,0.01745,1.01225,58.0085959885387,0.453246753246753,0.465333333333333,NA,NA,NA
"PE","PFTC5","BJY7661",2020,"March","2020-03-12","ACJ","C",5,"Woody","Ericaceae","Vaccinium floribundum","Vaccinium","floribundum",2,25,2,NA,0.114,0.486,0.504,0.465,0.0468,5,3.29,0.057,0.0234,1.645,70.2991452991453,0.410526315789474,0.485,NA,NA,NA
"PE","PFTC5","BJX5743",2020,"March","2020-03-12","ACJ","C",5,"Woody","Ericaceae","Vaccinium floribundum","Vaccinium","floribundum",2,25,1,"5",0.127,0.449,0.394,0.433,0.0509,5,3.616,0.127,0.0509,3.616,71.041257367387,0.400787401574803,0.425333333333333,NA,NA,NA
"PE","PFTC5","BGG6914",2020,"March","2020-03-12","ACJ","C",3,"Woody","Ericaceae","Vaccinium floribundum","Vaccinium","floribundum",2,12.4,5,"5",0.128,0.57,0.561,0.501,0.0529,5,3.396,0.0256,0.01058,0.6792,64.1965973534972,0.41328125,0.544,NA,NA,NA
"PE","PFTC5","BAX2075",2020,"March","2020-03-12","ACJ","C",2,"Woody","Ericaceae","Vaccinium floribundum","Vaccinium","floribundum",1,57,5,NA,0.065,0.396,0.389,0.3,0.0343,5,1.851,0.013,0.00686,0.3702,53.9650145772595,0.527692307692308,0.361666666666667,NA,NA,NA
"PE","PFTC5","BAN5621",2020,"March","2020-03-12","ACJ","C",2,"Woody","Ericaceae","Vaccinium floribundum","Vaccinium","floribundum",2,29,5,NA,0.075,0.403,0.467,0.429,0.0332,5,2.368,0.015,0.00664,0.4736,71.3253012048193,0.442666666666667,0.433,NA,NA,NA
"PE","PFTC5","BAU9263",2020,"March","2020-03-12","ACJ","C",3,"Woody","Ericaceae","Pernettya prostrata","Pernettya","prostrata",3,26.5,NA,NA,0.053,0.314,0.267,0.307,0.0193,5,1.242,NA,NA,NA,NA,NA,0.296,NA,NA,NA
"PE","PFTC5","BJZ0487",2020,"March","2020-03-12","ACJ","C",5,"Woody","Ericaceae","Vaccinium floribundum","Vaccinium","floribundum",2,25,3,"5",0.132,0.463,0.394,0.348,0.0533,5,3.714,0.044,0.0177666666666667,1.238,69.6810506566604,0.403787878787879,0.401666666666667,NA,NA,NA
"PE","PFTC5","BAT8676",2020,"March","2020-03-12","ACJ","C",2,"Woody","Ericaceae","Vaccinium floribundum","Vaccinium","floribundum",1,57,4,NA,0.077,0.44,0.558,0.5,0.0418,5,2.076,0.01925,0.01045,0.519,49.6650717703349,0.542857142857143,0.499333333333333,NA,NA,NA
"PE","PFTC5","BJE0168",2020,"March","2020-03-12","QUE","BB",5,"Forb","Asteraceae","Oreithales integrifolia","Oreithales","integrifolia",1,0.34,NA,"1",0.582,0.51,0.564,0.514,0.074,1,5.307,NA,NA,NA,NA,NA,0.529333333333333,NA,NA,NA
"PE","PFTC5","AJB8853",2020,"March","2020-03-12","QUE","BB",2,"Forb","Caprifoliaceae","Belonanthus hispidus","Belonanthus","hispidus",3,0.2,NA,"10",0.053,0.32,0.358,0.281,0.0105,10,1.097,NA,NA,NA,NA,NA,0.319666666666667,NA,NA,NA
"PE","PFTC5","AJE3805",2020,"March","2020-03-12","QUE","BB",1,"Forb","Asteraceae","Werneria villosa","Werneria","villosa",2,1.1,NA,"15",0.059,0.311,0.239,0.178,0.0133,15,0.534,NA,NA,NA,NA,NA,0.242666666666667,NA,NA,NA
"PE","PFTC5","AJF4574",2020,"March","2020-03-12","QUE","BB",1,"Forb","Asteraceae","Werneria villosa","Werneria","villosa",1,2,NA,"10",0.086,0.299,0.305,0.237,0.0289,11,3.473,NA,NA,NA,NA,NA,0.280333333333333,NA,NA,NA
"PE","PFTC5","BCA7821",2020,"March","2020-03-12","QUE","BB",3,"Gramminoid","Cyperaceae","Carex pygmaea","Carex","pygmaea",5,2.4,NA,"1",0.013,0.175,0.175,0.168,0.0052,2,0.752,NA,NA,NA,NA,NA,0.172666666666667,NA,NA,NA
"PE","PFTC5","ADC3290",2020,"March","2020-03-12","ACJ","C",2,"Forb","Rosaceae","Lachemilla orbiculata","Lachemilla","orbiculata",2,9,4,NA,0.188,0.268,0.274,0.256,0.0559,1,5.837,0.047,0.013975,1.45925,104.418604651163,0.297340425531915,0.266,NA,NA,NA
"PE","PFTC5","ADA0944",2020,"March","2020-03-12","ACJ","C",4,"Forb","Rosaceae","Lachemilla orbiculata","Lachemilla","orbiculata",2,2,3,NA,0.156,0.2,0.35,0.362,0.0501,5,3.54,0.052,0.0167,1.18,70.6586826347305,0.321153846153846,0.304,NA,NA,NA
"PE","PFTC5","AUY8492",2020,"March","2020-03-12","ACJ","C",5,"Gramminoid","Poaceae","Paspalum bonplandianum","Paspalum","bonplandianum",2,20,2,NA,0.06,0.189,0.195,0.182,0.0158,1,4.922,0.03,0.0079,2.461,311.518987341772,0.263333333333333,0.188666666666667,NA,NA,NA
"PE","PFTC5","AAD6680",2020,"March","2020-03-12","ACJ","C",4,"Gramminoid","Poaceae","Paspalum bonplandianum","Paspalum","bonplandianum",3,17,3,NA,0.101,0.13,0.152,0.128,0.0286,1,7.598,0.0336666666666667,0.00953333333333333,2.53266666666667,265.664335664336,0.283168316831683,0.136666666666667,NA,NA,NA
"PE","PFTC5","ASX0997",2020,"March","2020-03-12","ACJ","C",1,"Gramminoid","Poaceae","Paspalum bonplandianum","Paspalum","bonplandianum",3,15.5,5,NA,0.034,0.129,0.11,0.089,0.0078,1,3.108,0.0068,0.00156,0.6216,398.461538461539,0.229411764705882,0.109333333333333,NA,NA,NA
"PE","PFTC5","AAY3045",2020,"March","2020-03-12","ACJ","C",3,"Gramminoid","Poaceae","Paspalum bonplandianum","Paspalum","bonplandianum",1,11.7,3,NA,0.081,0.097,0.112,0.104,0.0226,1,5.788,0.027,0.00753333333333333,1.92933333333333,256.106194690266,0.279012345679012,0.104333333333333,NA,NA,NA
"PE","PFTC5","ASO9797",2020,"March","2020-03-12","ACJ","C",1,"Gramminoid","Poaceae","Paspalum bonplandianum","Paspalum","bonplandianum",3,15.5,4,NA,0.047,0.095,0.088,0.079,0.0129,1,4.388,0.01175,0.003225,1.097,340.15503875969,0.274468085106383,0.0873333333333333,NA,NA,NA
"PE","PFTC5","AEM7938",2020,"March","2020-03-12","ACJ","C",1,"Gramminoid","Poaceae","Paspalum bonplandianum","Paspalum","bonplandianum",2,9.5,3,NA,0.029,0.108,0.099,0.097,0.0081,1,2.809,0.00966666666666667,0.0027,0.936333333333333,346.79012345679,0.279310344827586,0.101333333333333,NA,NA,NA
"PE","PFTC5","ABY2122",2020,"March","2020-03-12","ACJ","C",3,"Gramminoid","Poaceae","Paspalum bonplandianum","Paspalum","bonplandianum",1,11.7,1,NA,0.083,0.146,0.141,0.129,0.0236,1,6.517,0.083,0.0236,6.517,276.14406779661,0.28433734939759,0.138666666666667,NA,NA,NA
"PE","PFTC5","AAB6480",2020,"March","2020-03-12","ACJ","C",4,"Gramminoid","Poaceae","Paspalum bonplandianum","Paspalum","bonplandianum",2,16,5,NA,0.044,0.117,0.131,0.145,0.0125,1,3.048,0.0088,0.0025,0.6096,243.84,0.284090909090909,0.131,NA,NA,NA
"PE","PFTC5","ABW0088",2020,"March","2020-03-12","ACJ","C",2,"Forb","Gentianaceae","Halenia umbellata","Halenia","umbellata",3,5.3,5,NA,0.036,0.277,0.284,0.282,0.0094,1,1.09,0.0072,0.00188,0.218,115.957446808511,0.261111111111111,0.281,NA,NA,NA
"PE","PFTC5","AAS2586",2020,"March","2020-03-12","ACJ","C",2,"Forb","Gentianaceae","Halenia umbellata","Halenia","umbellata",3,5.3,4,NA,0.037,0.294,0.293,0.313,0.0096,1,0.986,0.00925,0.0024,0.2465,102.708333333333,0.259459459459459,0.3,NA,NA,NA
"PE","PFTC5","AAR1903",2020,"March","2020-03-12","ACJ","C",2,"Forb","Gentianaceae","Halenia umbellata","Halenia","umbellata",3,5.3,3,NA,0.042,0.286,0.31,0.303,0.0106,1,1.183,0.014,0.00353333333333333,0.394333333333333,111.603773584906,0.252380952380952,0.299666666666667,NA,NA,NA
"PE","PFTC5","ACW6576",2020,"March","2020-03-12","ACJ","C",4,"Forb","Rosaceae","Lachemilla orbiculata","Lachemilla","orbiculata",1,8,5,NA,0.201,0.318,0.269,0.256,0.0461,2,8.286,0.0402,0.00922,1.6572,179.739696312364,0.229353233830846,0.281,NA,NA,NA
"PE","PFTC5","AUH1440",2020,"March","2020-03-12","ACJ","C",4,"Forb","Rosaceae","Lachemilla orbiculata","Lachemilla","orbiculata",1,8,2,NA,0.264,0.285,0.276,0.293,0.0788,5,7.029,0.132,0.0394,3.5145,89.2005076142132,0.298484848484848,0.284666666666667,NA,NA,NA
"PE","PFTC5","BDV1956",2020,"March","2020-03-12","QUE","BB",2,"Forb","Caprifoliaceae","Belonanthus hispidus","Belonanthus","hispidus",2,0.3,NA,"10",0.049,0.274,0.263,0.271,0.0089,12,1.234,NA,NA,NA,NA,NA,0.269333333333333,NA,NA,NA
"PE","PFTC5","AJK7215",2020,"March","2020-03-12","QUE","BB",2,"Gramminoid","Cyperaceae","Carex pygmaea","Carex","pygmaea",2,2,NA,"4",0.021,0.183,0.162,0.151,0.0093,5,1.554,NA,NA,NA,NA,NA,0.165333333333333,NA,NA,NA
"PE","PFTC5","AJG6251",2020,"March","2020-03-12","QUE","BB",2,"Gramminoid","Cyperaceae","Carex pygmaea","Carex","pygmaea",3,1.5,NA,"6",0.027,0.153,0.16,0.084,0.0122,7,2.11,NA,NA,NA,NA,NA,0.132333333333333,NA,NA,NA
"PE","PFTC5","AJO3933",2020,"March","2020-03-12","QUE","BB",2,"Gramminoid","Cyperaceae","Carex pygmaea","Carex","pygmaea",1,1.3,NA,"7",0.108,0.206,0.198,0.175,0.0384,8,5.968,NA,NA,NA,NA,NA,0.193,NA,NA,NA
"PE","PFTC5","ALB4469",2020,"March","2020-03-12","QUE","BB",1,"Forb","Asteraceae","Hypochaeris taraxacoides","Hypochaeris","taraxacoides",1,0.8,NA,"2",0.094,0.231,0.238,0.234,0.0164,5,2.167,NA,NA,NA,NA,NA,0.234333333333333,NA,NA,NA
"PE","PFTC5","ASU5572",2020,"March","2020-03-12","QUE","BB",5,"Forb","Asteraceae","Antennaria linearifolia","Antennaria","linearifolia",1,1.9,NA,"4",0.133,0.327,0.365,0.334,0.0399,5,4.231,NA,NA,NA,NA,NA,0.342,NA,NA,NA
"PE","PFTC5","AJP6010",2020,"March","2020-03-12","QUE","BB",2,"Gramminoid","Cyperaceae","Carex pygmaea","Carex","pygmaea",4,2.5,NA,"3",0.031,0.168,0.168,0.16,0.0156,4,2.261,NA,NA,NA,NA,NA,0.165333333333333,NA,NA,NA
"PE","PFTC5","BBY2161",2020,"March","2020-03-12","QUE","BB",2,"Woody","Asteraceae","Baccharis caespitosa","Baccharis","caespitosa",3,0.7,NA,"10",0.004,0.248,0.279,0.254,0.002,5,0.285,NA,NA,NA,NA,NA,0.260333333333333,NA,NA,NA
"PE","PFTC5","BCY3557",2020,"March","2020-03-12","QUE","BB",1,"Forb","Asteraceae","Werneria villosa","Werneria","villosa",4,0.12,NA,"10",0.064,0.292,0.293,0.309,0.0166,17,0.99,NA,NA,NA,NA,NA,0.298,NA,NA,NA
"PE","PFTC5","AVZ7947",2020,"March","2020-03-12","QUE","BB",1,"Forb","Asteraceae","Antennaria linearifolia","Antennaria","linearifolia",3,2.3,NA,"5",0.141,0.237,0.248,0.274,0.0433,14,6.7475,NA,NA,NA,NA,NA,0.253,"Area estimated",NA,NA
"PE","PFTC5","AKI5063",2020,"March","2020-03-12","QUE","BB",2,"Forb","Asteraceae","Hypochaeris taraxacoides","Hypochaeris","taraxacoides",1,3,NA,"3",0.25,0.272,0.264,0.258,0.033,6,4.464,NA,NA,NA,NA,NA,0.264666666666667,NA,NA,NA
"PE","PFTC5","AVW4960",2020,"March","2020-03-12","QUE","BB",5,"Forb","Asteraceae","Antennaria linearifolia","Antennaria","linearifolia",3,1.7,NA,NA,0.187,0.347,0.295,0.287,0.0489,7,4.71,NA,NA,NA,NA,NA,0.309666666666667,NA,NA,NA
"PE","PFTC5","BDE7008",2020,"March","2020-03-12","QUE","BB",1,"Forb","Asteraceae","Werneria villosa","Werneria","villosa",2,0.17,NA,NA,0.04,0.31,0.309,0.337,0.0133,11,1.633,NA,NA,NA,NA,NA,0.318666666666667,NA,NA,NA
"PE","PFTC5","AKU2768",2020,"March","2020-03-12","QUE","BB",1,"Forb","Asteraceae","Hypochaeris taraxacoides","Hypochaeris","taraxacoides",2,2.2,NA,"1",0.065,0.243,0.27,0.238,0.0116,3,1.796,NA,NA,NA,NA,NA,0.250333333333333,NA,NA,NA
"PE","PFTC5","AKQ8501",2020,"March","2020-03-12","QUE","BB",1,"Forb","Asteraceae","Hypochaeris taraxacoides","Hypochaeris","taraxacoides",3,1.8,NA,"2",0.056,0.197,0.231,0.217,0.0088,2,1.169,NA,NA,NA,NA,NA,0.215,NA,NA,NA
"PE","PFTC5","BDS6325",2020,"March","2020-03-12","QUE","BB",1,"Gramminoid","Poaceae","Bromus lanatus","Bromus","lanatus",3,11.5,NA,"2",0.074,0.182,0.176,0.191,0.0269,2,4.536,NA,NA,NA,NA,NA,0.183,NA,NA,NA
"PE","PFTC5","BBG2942",2020,"March","2020-03-12","QUE","BB",2,"Gramminoid","Poaceae","Agrostis trichodes","Agrostis","trichodes",1,6,NA,"20",0.112,0.149,0.145,0.122,0.0261,23,3.895,NA,NA,NA,NA,NA,0.138666666666667,NA,NA,NA
"PE","PFTC5","AFE3166",2020,"March","2020-03-12","QUE","BB",1,"Forb","Asteraceae","Antennaria linearifolia","Antennaria","linearifolia",5,3.5,NA,"5",0.186,0.337,0.253,0.326,0.047,7,5.382,NA,NA,NA,NA,NA,0.305333333333333,NA,NA,NA
"PE","PFTC5","BDW0393",2020,"March","2020-03-12","QUE","BB",1,"Gramminoid","Poaceae","Bromus lanatus","Bromus","lanatus",4,1,NA,"3",0.064,0.187,0.201,0.197,0.0202,3,3.863,NA,NA,NA,NA,NA,0.195,NA,NA,NA
"PE","PFTC5","AWI7431",2020,"March","2020-03-12","QUE","BB",5,"Gramminoid","Poaceae","Anatherostipa hans-meyeri","Anatherostipa","hans-meyeri",1,9,NA,"5",0.102,0.245,0.244,0.24,0.0456,13,1.791,NA,NA,NA,NA,NA,0.243,NA,NA,NA
"PE","PFTC5","BDP2694",2020,"March","2020-03-12","QUE","BB",1,"Gramminoid","Poaceae","Bromus lanatus","Bromus","lanatus",2,12,NA,NA,0.1,0.253,0.182,0.253,0.0343,1,3.961,NA,NA,NA,NA,NA,0.229333333333333,NA,NA,NA
"PE","PFTC5","AXI2974",2020,"March","2020-03-12","QUE","BB",4,"Gramminoid","Cyperaceae","Carex boliviensis","Carex","boliviensis",3,NA,NA,NA,0.037,0.237,0.204,0.173,0.0109,2,1.704,NA,NA,NA,NA,NA,0.204666666666667,NA,NA,NA
"PE","PFTC5","BUT0954",2020,"March","2020-03-12","QUE","BB",1,"Gramminoid","Cyperaceae","Carex pichinchensis","Carex","pichinchensis",4,11,NA,NA,0.175,0.3,0.305,0.32,0.0662,2,7.13,NA,NA,NA,NA,NA,0.308333333333333,NA,NA,NA
"PE","PFTC5","AXO5399",2020,"March","2020-03-12","QUE","BB",5,"Forb","Asteraceae","Oritrophium hieracioides","Oritrophium","hieracioides",3,0.8,NA,"1",0.063,0.398,0.37,0.383,0.129,2,1.59,NA,NA,NA,NA,NA,0.383666666666667,NA,NA,NA
"PE","PFTC5","AXN6442",2020,"March","2020-03-12","QUE","BB",5,"Forb","Asteraceae","Oritrophium hieracioides","Oritrophium","hieracioides",2,0.1,NA,NA,0.112,0.463,0.412,0.382,0.0278,2,2.717,NA,NA,NA,NA,NA,0.419,NA,NA,NA
"PE","PFTC5","BDA5299",2020,"March","2020-03-12","QUE","BB",1,"Forb","Asteraceae","Werneria villosa","Werneria","villosa",1,2.4,NA,"10",0.045,0.321,0.267,0.289,0.0121,13,2.203,NA,NA,NA,NA,NA,0.292333333333333,NA,NA,NA
"PE","PFTC5","AXL1721",2020,"March","2020-03-12","QUE","BB",2,"Gramminoid","Poaceae","Anatherostipa hans-meyeri","Anatherostipa","hans-meyeri",3,7,NA,"5",0.027,0.251,0.296,0.279,0.0149,5,1.286,NA,NA,NA,NA,NA,0.275333333333333,NA,NA,NA
"PE","PFTC5","BDC4816",2020,"March","2020-03-12","QUE","BB",4,"Forb","Asteraceae","Oritrophium hieracioides","Oritrophium","hieracioides",1,0.5,NA,NA,0.164,0.596,0.571,0.612,0.0247,1,2.398,NA,NA,NA,NA,NA,0.593,NA,NA,NA
"PE","PFTC5","AWG2964",2020,"March","2020-03-12","QUE","BB",5,"Forb","Asteraceae","Hypochaeris taraxacoides","Hypochaeris","taraxacoides",3,1.2,NA,"5",0.238,0.521,0.521,0.525,0.0487,5,2.61,NA,NA,NA,NA,NA,0.522333333333333,NA,NA,NA
"PE","PFTC5","AKH9598",2020,"March","2020-03-12","QUE","BB",2,"Forb","Asteraceae","Hypochaeris taraxacoides","Hypochaeris","taraxacoides",3,1.3,NA,"3",0.465,0.222,0.21,0.226,0.0716,8,8.738,NA,NA,NA,NA,NA,0.219333333333333,NA,NA,NA
"PE","PFTC5","AKK2945",2020,"March","2020-03-12","QUE","BB",5,"Forb","Gentianaceae","Gentianella ernestii","Gentianella","ernestii",2,1.5,NA,"3",0.072,0.444,0.39,0.347,0.0175,5,1.886,NA,NA,NA,NA,NA,0.393666666666667,NA,NA,NA
"PE","PFTC5","AWW1795",2020,"March","2020-03-12","QUE","BB",2,"Forb","Asteraceae","Werneria villosa","Werneria","villosa",1,3.5,NA,"5",0.135,0.23,0.207,0.243,0.0426,23,3.136,NA,NA,NA,NA,NA,0.226666666666667,NA,NA,NA
"PE","PFTC5","AWZ7731",2020,"March","2020-03-12","QUE","BB",2,"Forb","Asteraceae","Werneria villosa","Werneria","villosa",2,3.2,NA,"15",0.198,0.186,0.156,0.17,0.0535,19,2.747,NA,NA,NA,NA,NA,0.170666666666667,NA,NA,NA
"PE","PFTC5","AKJ0837",2020,"March","2020-03-12","QUE","BB",5,"Forb","Gentianaceae","Gentianella ernestii","Gentianella","ernestii",3,9,NA,"3",0.064,0.431,0.404,0.233,0.0167,3,1.451,NA,NA,NA,NA,NA,0.356,NA,NA,NA
"PE","PFTC5","ATM7065",2020,"March","2020-03-12","QUE","BB",5,"Forb","Asteraceae","Hypochaeris taraxacoides","Hypochaeris","taraxacoides",1,0.6,NA,"10",0.074,0.399,0.387,0.424,0.0158,10,1.248,NA,NA,NA,NA,NA,0.403333333333333,NA,NA,NA
"PE","PFTC5","AXJ7061",2020,"March","2020-03-12","QUE","BB",2,"Gramminoid","Poaceae","Anatherostipa hans-meyeri","Anatherostipa","hans-meyeri",1,8,NA,"5",0.035,0.249,0.238,0.25,0.018,6,1.131,NA,NA,NA,NA,NA,0.245666666666667,NA,NA,NA
"PE","PFTC5","AKS1170",2020,"March","2020-03-12","QUE","BB",3,"Forb","Asteraceae","Werneria nubigena","Werneria","nubigena",1,2.9,NA,"1",0.167,0.361,0.378,0.421,0.0424,3,3.065,NA,NA,NA,NA,NA,0.386666666666667,NA,NA,NA
"PE","PFTC5","AWO3114",2020,"March","2020-03-12","QUE","BB",5,"Gramminoid","Poaceae","Agrostis foliata","Agrostis","foliata",2,7,NA,"2",0.013,0.192,0.167,0.103,0.0044,2,0.535,NA,NA,NA,NA,NA,0.154,NA,NA,NA
"PE","PFTC5","AFH6927",2020,"March","2020-03-12","QUE","BB",2,"Forb","Asteraceae","Antennaria linearifolia","Antennaria","linearifolia",4,1.3,NA,"5",0.07,0.342,0.227,0.338,0.0235,5,6.1475,NA,NA,NA,NA,NA,0.302333333333333,"Area estimated",NA,NA
"PE","PFTC5","AJL5468",2020,"March","2020-03-12","QUE","BB",3,"Forb","Asteraceae","Oreithales integrifolia","Oreithales","integrifolia",1,2.1,NA,NA,0.318,0.471,0.538,0.549,0.0485,1,2.821,NA,NA,NA,NA,NA,0.519333333333333,NA,NA,NA
"PE","PFTC5","BCL1906",2020,"March","2020-03-12","QUE","BB",4,"Forb","Asteraceae","Antennaria linearifolia","Antennaria","linearifolia",2,2.6,NA,"5",0.162,0.327,0.318,0.321,0.0505,9,3.612,NA,NA,NA,NA,NA,0.322,NA,NA,NA
"PE","PFTC5","AXH6633",2020,"March","2020-03-12","QUE","BB",4,"Gramminoid","Cyperaceae","Carex boliviensis","Carex","boliviensis",2,5.5,NA,"1",0.038,0.182,0.166,0.145,0.0121,1,1.993,NA,NA,NA,NA,NA,0.164333333333333,NA,NA,NA
"PE","PFTC5","AFG3654",2020,"March","2020-03-12","QUE","BB",2,"Forb","Asteraceae","Antennaria linearifolia","Antennaria","linearifolia",5,1.4,NA,"5",0.109,0.212,0.201,0.227,0.038,7,3.679,NA,NA,NA,NA,NA,0.213333333333333,NA,NA,NA
"PE","PFTC5","AKT6450",2020,"March","2020-03-12","QUE","BB",3,"Forb","Asteraceae","Werneria nubigena","Werneria","nubigena",3,7.5,NA,"1",0.278,0.439,0.451,0.455,0.0626,1,4.555,NA,NA,NA,NA,NA,0.448333333333333,NA,NA,NA
"PE","PFTC5","BEB2759",2020,"March","2020-03-12","QUE","BB",3,"Forb","Asteraceae","Oreithales integrifolia","Oreithales","integrifolia",2,2.5,NA,NA,0.259,0.351,0.389,0.361,0.0345,1,2.564,NA,NA,NA,NA,NA,0.367,NA,NA,NA
"PE","PFTC5","AFK6078",2020,"March","2020-03-12","QUE","BB",4,"Gramminoid","Juncaceae","Luzula racemosa","Luzula","racemosa",2,6.7,NA,NA,0.026,0.178,0.182,0.168,0.0098,2,0.854,NA,NA,NA,NA,NA,0.176,NA,NA,NA
"PE","PFTC5","AHJ1193",2020,"March","2020-03-12","QUE","BB",4,"Gramminoid","Juncaceae","Luzula racemosa","Luzula","racemosa",3,7.7,NA,NA,0.04,0.175,0.201,0.187,0.0146,2,1.213,NA,NA,NA,NA,NA,0.187666666666667,NA,NA,NA
"PE","PFTC5","AKY3574",2020,"March","2020-03-12","QUE","BB",2,"Forb","Asteraceae","Perezia pungens","Perezia","pungens",1,NA,NA,NA,0.282,0.263,0.357,0.356,0.0723,1,6.325,NA,NA,NA,NA,NA,0.325333333333333,NA,NA,NA
"PE","PFTC5","AZD2713",2020,"March","2020-03-12","QUE","BB",1,"Gramminoid","Poaceae","Poa spicigera","Poa","spicigera",4,3,NA,"6",0.018,0.214,0.202,0.182,0.007,5,0.944,NA,NA,NA,NA,NA,0.199333333333333,NA,NA,NA
"PE","PFTC5","BVV6844",2020,"March","2020-03-12","QUE","BB",2,"Gramminoid","Poaceae","Bromus lanatus","Bromus","lanatus",2,1.69,NA,"1",0.136,0.25,0.243,0.235,0.454,1,5.788,NA,NA,NA,NA,NA,0.242666666666667,NA,NA,NA
"PE","PFTC5","AKW2482",2020,"March","2020-03-12","QUE","BB",2,"Forb","Asteraceae","Perezia pungens","Perezia","pungens",2,3.7,NA,"1",0.611,0.465,0.469,0.498,0.1448,1,12.23,NA,NA,NA,NA,NA,0.477333333333333,NA,NA,NA
"PE","PFTC5","AXF5867",2020,"March","2020-03-12","QUE","BB",3,"Gramminoid","Juncaceae","Luzula racemosa","Luzula","racemosa",3,8.3,NA,NA,0.086,0.234,0.219,0.175,0.0298,5,3.405,NA,NA,NA,NA,NA,0.209333333333333,NA,NA,NA
"PE","PFTC5","AIE7697",2020,"March","2020-03-12","QUE","BB",4,"Gramminoid","Cyperaceae","Rhynchospora macrochaeta","Rhynchospora","macrochaeta",2,10.4,NA,NA,0.095,0.227,0.238,0.239,0.0388,1,3.335,NA,NA,NA,NA,NA,0.234666666666667,NA,NA,NA
"PE","PFTC5","AZA4424",2020,"March","2020-03-12","QUE","BB",1,"Gramminoid","Poaceae","Poa spicigera","Poa","spicigera",1,4.5,NA,"3",0.024,0.206,0.206,0.254,0.076,3,1.271,NA,NA,NA,NA,NA,0.222,NA,NA,NA
"PE","PFTC5","AXR0939",2020,"March","2020-03-12","QUE","BB",2,"Woody","Ericaceae","Vaccinium floribundum","Vaccinium","floribundum",3,2.5,NA,"5",0.066,0.375,0.401,0.301,0.0242,7,2.001,NA,NA,NA,NA,NA,0.359,NA,NA,NA
"PE","PFTC5","BXR1560",2020,"March","2020-03-12","QUE","BB",2,"Gramminoid","Cyperaceae","Carex pichinchensis","Carex","pichinchensis",5,12.9,NA,NA,0.2,0.208,0.214,0.174,0.0849,5,8.406,NA,NA,NA,NA,NA,0.198666666666667,NA,NA,NA
